distance_km,transmission,qber,secure_key_rate_bps,raw_key_rate_bps,total_loss_db
5.0,0.7943282347242815,0.030693069068751272,224285.47173601497,397164.11736214074,1.0
10.0,0.6309573444801932,0.04706275487122679,125456.49643197685,315478.6722400966,2.0
15.0,0.5011872336272722,0.06008080286876967,69894.49296231616,250593.61681363612,3.0
20.0,0.3981071705534972,0.07044047158780124,38090.18356940778,199053.5852767486,4.0
25.0,0.31622776601683794,0.07869345116433303,19822.88402111498,158113.88300841898,5.0
30.0,0.251188643150958,0.0852792428554577,9403.399360610569,125594.321575479,6.0
35.0,0.19952623149688797,0.09054856408393848,3565.927309193155,99763.11574844399,7.0
40.0,0.15848931924611134,0.09478202541986906,403.09458639368586,79244.65962305568,8.0
45.0,0.12589254117941673,0.0982050741167826,0.0,62946.270589708365,9.0
50.0,0.1,0.101,0.0,50000.0,10.0
55.0,0.07943282347242814,0.10331564306455135,0.0,39716.41173621407,11.0
60.0,0.06309573444801933,0.10527531974765919,0.0,31547.867224009664,12.0
65.0,0.05011872336272722,0.10698338997869615,0.0,25059.36168136361,13.0
70.0,0.039810717055349734,0.1085308147259746,0.0,19905.358527674867,14.0
75.0,0.03162277660168379,0.11,0.0,15811.388300841896,15.0
80.0,0.025118864315095794,0.11146918527402538,0.0,12559.432157547897,16.0
85.0,0.0199526231496888,0.11301661002130384,0.0,9976.3115748444,17.0
90.0,0.015848931924611134,0.11472468025234082,0.0,7924.465962305567,18.0
95.0,0.012589254117941675,0.11668435693544865,0.0,6294.627058970837,19.0
100.0,0.01,0.119,0.0,5000.0,20.0
